k,linkage,silhouette,db
2,ward,0.4742062237879256,2.6420842596699368
2,complete,0.8456874214981311,0.10376929419112836
2,average,0.8456874214981311,0.10376929419112836
2,single,0.844842709408325,0.10433784869109257
3,ward,0.1166334139339968,3.395734874477529
3,complete,0.8448959137935813,1.292394397101886
3,average,0.8449237087975493,0.10398865720466477
3,single,0.8447454392640127,0.10425912098318546
4,ward,0.1339763581797586,2.998618437634883
4,complete,0.8448837160874249,1.1456218342407705
4,average,0.8448533715425862,0.10392155551510762
4,single,0.8448297303290844,0.10393728084163997
5,ward,0.13212917028123633,2.725396038984485
5,complete,0.8448781470113198,0.801553336339367
5,average,0.8448865273480843,0.10380342587287635
5,single,0.8447143923321417,0.1038849154515232
6,ward,0.13254037583396353,2.4347803581351406
6,complete,0.8449377705238189,0.7637879765640733
6,average,0.8449675158165117,0.10367021537464864
6,single,0.8447898830344134,0.10373795221573386
7,ward,0.13227905516282593,2.296404016876553
7,complete,0.8450234100597002,0.10353587012866208
7,average,0.8450234100597002,0.10353587012866208
7,single,0.8448843336668002,0.1035875252525904
8,ward,0.13721402105574715,2.0860347235455015
8,complete,0.8449672594759914,0.10343385612061132
8,average,0.8449672594759914,0.10343385612061133
8,single,0.8449672594759914,0.10343385612061133
9,ward,0.0430838615125015,2.1764621214315425
9,complete,0.8074371955664499,0.1254665774880279
9,average,0.8074371955664499,0.1254665774880279
9,single,0.7977602681164969,0.1251467772559404
10,ward,0.0443671230025207,1.9919230634161313
10,complete,0.7974497658638636,0.1951593680296846
10,average,0.798186853133652,0.1328715326505844
10,single,0.7974141128529602,0.19509298057082064
